idp,x,y,z
1502,-60.14434,-35.24689,0
1503,-60.4335,-35.30015,2
1505,-60.22894,-35.30603,0
1506,-60.16557,-35.17404,2
1507,-60.19319,-35.1856,2
1508,-56.59281,-27.53025,0
1509,-58.89829,-33.5783,NA
1511,-58.89235,-33.57711,0
1512,-58.88709,-33.57298,0
1513,-58.89402,-33.56843,0
1514,-59.13282,-28.9673,0
1515,-59.8777,-35.07902,2
1516,-59.95793,-35.03664,0
1517,-59.78135,-35.00599,2
1518,-59.78415,-35.008540000000004,0
1519,-59.9118,-35.01024,0
1520,-59.95864,-35.12386,0
1521,-59.73103,-35.11219,NA
1524,-62.3136,-33.6333,0
1525,-59.72501,-35.09242,0
1526,-62.3894,-32.7,0
1528,-59.64709,-35.04956,NA
1529,-59.53602,-35.03722,0
1530,-59.52306,-35.04672,2
1531,-62.5725,-33.6189,0
1532,-59.53914,-35.05413,1
1533,-59.60646,-35.10794,2
1534,-64.3653,-34.5436,0
1535,-64.2031,-32.1911,0
1536,-62.7703,-32.3631,0
1537,-63.13,-31.3639,0
1538,-64.0658,-30.8664,0
1539,-62.7369,-32.1867,0
1540,-56.68969,-27.48716,0
1541,-59.66362,-35.18709,0
1542,-59.67622,-35.18221,2
1543,-63.2992,-32.3522,0
1545,-61.9333,-32.5667,0
1549,-59.27117,-35.06218,2
1550,-59.26895,-35.06376,0
1551,-59.48156,-35.12178,1
1552,-59.41218,-35.00934,0
1553,-59.42004,-35.00683,2
1554,-59.41822,-35.01434,0
1555,-59.41994,-35.01128,NA
1556,-59.04127,-35.05341,0
1557,-59.04036,-35.05195,0
1558,-59.06798,-35.04389,2
