idh	idp	top	cec	ca	mg	k	na	bsum_sisinta	bsum_calculada	bsat
710	438	17	18.6	12.4	1.6	1.7	0.1	15.7	0	84.4086021505376
714	439	0	21.8	14.7	2	2.6	0.3	19.6	2	89.908256880734
715	439	17	20.2	13.2	1.7	2.6	0.3	17.2	0	85.1485148514852
716	439	24	18.8	11.9	1.3	1.9	0.2	15.3	0	81.3829787234043
720	440	0	18.6	11.1	2.5	2.1	0.3	16	0	86.0215053763441
721	440	17	17.6	10	1.9	1.7	0.2	13.8	10	78.4090909090909
726	441	0	25.7	14.1	3.2	2.5	0.2	20	0	77.8210116731518
727	441	16	20.6	12	3.3	2.1	0.2	17.6	12	85.4368932038835
728	441	23	19.7	11.6	3.3	2	0.2	17.1	2	86.8020304568528
734	442	0							0	
735	442	14							0	
740	443	0							0	
741	443	19							0	
747	444	0	21.9			3.6	11.9		0	
748	444	22	27			4.5	15.7		0	
749	445	0	18.6	8.9	2.5	2.3	0.2	13.9	0	74.7311827956989
750	445	12	17.3	9.4	2.3	2.2	0.1	14	0	80.9248554913295
757	446	0	17.1			3.2	1.9		0	
758	446	15	17.1			3.2	1.9		0	
761	446	24	32.7			3.3	12		12	
763	447	0	22.1	13.2	2.7	1.7	0.3	17.9	0	80.9954751131222
764	447	14	20.6	13	2.1	1.2	0.1	16.4	13	79.6116504854369
770	448	0	24.9	16.8	3.3	2.8	0.3	23.2	0	93.1726907630522
771	448	14	21.4	13.3	3.3	2	0.2	18.8	2	87.8504672897196
777	449	0	12.1	6.3	2.8	0.8	1.4	11.3	0	93.3884297520661
778	449	19	12.1	6.7	3.1	0.6	1.2	11.6	0	95.8677685950413
781	450	0							0	
782	450	18							0	
783	450	24							0	
786	451	0	20.6	10.4	4	2.3	0.3	17	4	82.5242718446602
787	451	17	18.6	9.9	4.6	1.9	0.4	16.8	0	90.3225806451613
791	452	0	13	6	3	2.1	2.2	13.3	9	100
792	452	15	19.1	6	2.5	2.5	8.7	19.7	6	100
793	452	20	16			3.6	8.4		0	
797	453	0	46.8			4	40.4		4	
798	453	20	55.6			4.1	45.6		0	
800	454	0	39.4			3.4	21.5		0	
801	454	18	54.4			3.9	35.8		0	
804	455	0	22.1	12.6	2.9	2.4	0.2	18.1	0	81.9004524886878
805	455	16	22	12.4	4.3	1.7	0.2	18.6	0	84.5454545454546
810	456	0	20.4	10.4	4.4	1.8	0.4	17	0	83.3333333333333
811	456	18	17.8	8.9	4	1.6	0.2	14.6	4	82.0224719101124
816	457	0	20.6	12.7	2.9	2.6	0.1	18.3	0	88.8349514563107
817	457	19	16.5	9.5	3.1	1.7	0.1	14.4	0	87.2727272727273
820	458	0	17.6	8	6.2	2.2	0.5	16.9	8	96.0227272727273
821	458	19	17.8	10.3	4.8	2.7	0.9	18.7	0	105.056179775281
830	459	0	20.3	10.6	5.9	2.7	0.3	19.5	0	96.0591133004926
831	459	13	21.5	11.1	6.1	2.6	0.4	20.2	0	93.953488372093
838	461	0	26	13.9	1.5	2.2	0.7	18.3	0	70.3846153846154
839	461	19	23.4	15.2	1.2	1.5	0.8	18.7	0	79.9145299145299
843	462	0	16.3	9.8	1.6	1.9	0.4	13.7	0	84.0490797546012
844	462	18	17.9	10.6	2.6	1.7	0.4	15.3	0	85.4748603351955
848	463	0	18	12	1.7	2.4	0.3	16.4	12	91.1111111111111
849	463	13	17	10.9	1.6	2	0.4	14.9	2	87.6470588235294
853	464	0	17.3	9.1	2.5	2	0.4	14	2	80.9248554913295
854	464	15	17.9	9.9	2	1.8	0.4	14.1	2	78.7709497206704
855	464	23	17.3	10.3	2.8	1.2	0.4	14.7	0	84.971098265896
859	465	0	23.3	11.6	2.1	2.9	0.3	16.9	0	72.5321888412017
860	465	15	19.5	12.5	1.2	2.6	0.3	16.6	0	85.1282051282051
866	467	0	28.6	15.2	3.8	2.2	0.2	21.4	0	74.8251748251748
867	467	15	26.4	14.7	4.5	2	0.2	21.4	2	81.0606060606061
872	468	0	11.5			3.4	8.2		0	
875	469	0	21.2	13.1	1.7	2.3	0.2	17.3	0	81.6037735849057
876	469	14	19.2	11.7	2.3	2.2	0.2	16.4	0	85.4166666666667
881	470	0	15.9	9.8	1.9	2.2	0.3	14.2	0	89.3081761006289
882	470	14	16	10.3	1.3	1	0.3	12.9	1	80625
883	470	24	15	9	3	0.9	0.3	13.2	12	88
888	471	0							0	
889	471	12	20.2	12.2	2.2	1.6	0.2	16.2	0	80.1980198019802
895	472	0	21.2	11.9	1.7	2	0.2	15.8	2	74.5283018867925
896	472	21	19.2	10.7	3.1	1.3	0.2	15.3	0	79.6875
901	473	0	14.4	7.3	2.9	2.4	0.1	12.7	0	88.1944444444444
902	473	14	15.7	9.6	1.6	2.1	0.2	13.4	0	85.3503184713376
906	474	0	21.5	13.2	1.7	2.6	0.1	17.6	0	81.8604651162791
907	474	15	21.2	13.5	2.3	2	0.1	17.9	2	84.4339622641509
914	475	0	10.7	5.8	1.5	3	1.1	11.4	3	100
915	475	10	10.7	5.8	1.5	3	1.1	11.4	3	100
916	475	16	25.5			6.4	20.2		0	
918	476	0	18.1	11.1	2.9	1.8	0.2	16	0	88.3977900552486
919	476	13	18.4	10.5	4.1	1.8	0.2	16.6	0	90.2173913043479
926	477	0	23.2	12.5	2.3	2.1	0.4	17.3	0	74.5689655172414
927	477	23	17.7	10.2	1.9	1.6	0.4	14.1	0	79.6610169491525
933	478	0	24.7	15	2.1	2.6	0.4	20.1	15	81.3765182186235
934	478	12	20.9	12.8	2.1	2.3	0.4	17.6	0	84.2105263157895
940	479	0	22.8	14.5	2.7	2.7	0.5	20.4	0	89.4736842105263
941	479	13	19.2	12.4	1.9	2.3	0.3	16.9	0	88.0208333333333
947	480	0	24	14.6	3.3	2.6	1.1	21.6	0	90
948	480	14	22.7	13.8	3.5	2.1	0.3	19.7	0	86.784140969163
953	481	0	25.6	12.7	3.2	2.3	0.6	18.8	0	73.4375
954	481	14	20.4	11.7	2.9	1.8	0.6	17	0	83.3333333333333
