idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
28567,112,0,17.7,8.1,2.3,0.7,1.7,12.8,12.799999999999999,73,1.7763568394002505e-15
28568,112,14,16.2,7.7,3.3,1.2,2.4,14.5,14.6,90,-0.09999999999999964
28569,112,24,33.8,13.1,9,4.9,8,35,35,NA,0
4894,125,0,22,13.2,1.5,2.3,0.1,17.1,17.099999999999998,78,3.552713678800501e-15
4895,125,24,14,9.2,1,1.1,0.1,11.4,11.399999999999999,81,1.7763568394002505e-15
28437,128,0,20.4,9.9,3.1,0.8,0.7,14.5,14.5,71,0
28438,128,22,43.8,26.8,8.4,1.4,4.2,40.8,40.800000000000004,93,-7.105427357601002e-15
28425,154,0,24.3,12.7,2.7,2.2,0.4,18,18,74,0
28426,154,14,24.3,12.4,4.6,1.9,0.5,19.4,19.4,80,0
28573,173,0,12.2,5.2,3.3,3.1,0.4,12,12,98,0
28574,173,19,11.3,5.9,1.6,2.8,0.6,10.9,10.9,97,0
28579,176,0,12.2,7.2,2.5,1,0.1,10.8,10.8,88,0
28583,180,0,17.1,8.6,1.7,1.1,1.5,12.9,12.9,75,0
28584,180,16,12.4,5.3,2,1,3.7,12,12,97,0
28689,185,0,19.1,12.2,3,1,0.2,16.4,16.4,85,0
28485,189,0,16.1,NA,NA,2.6,6.4,NA,9,NA,NA
28486,189,13,22.5,NA,NA,2.9,11.8,NA,14.700000000000001,NA,NA
28487,189,20,40,NA,NA,6.8,25.8,NA,32.6,NA,NA
28588,197,0,25.6,16,2.1,2.8,0.4,21.3,21.3,NA,0
28589,197,13,22.7,16.9,1.5,2.1,0.3,20.8,20.799999999999997,NA,3.552713678800501e-15
28443,199,0,26.4,13.5,5.8,2.5,0.8,22.6,22.6,86,0
28444,199,21,11.3,5.5,2.9,0.9,2.1,11.4,11.4,100,0
28595,219,0,20.9,10.6,3.4,0.7,0.6,15.3,15.299999999999999,73,1.7763568394002505e-15
29399,219,22,39.1,22.8,8.5,1.5,1.9,34.7,34.7,89,0
28596,222,0,21.7,11.9,4.2,2,0.3,18.4,18.400000000000002,84,-3.552713678800501e-15
28597,222,15,22.8,12.8,3.3,1.7,0.3,18.1,18.1,80,0
