idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
2990,793,-33.801925,-60.145681,0,11,10YR 3/3,10YR 5/2,18.4,14.3,78,1.98,6.5,18.8,10YR,3,3,10YR,5,2
2991,793,-33.801925,-60.145681,11,23,10YR 3/2,10YR 4/2,18.4,15.9,87,1.1,8.1,16.2,10YR,3,2,10YR,4,2
2992,793,-33.801925,-60.145681,23,31,10YR 2/2,10YR 3/2,21.2,18.9,89,0.85,8.6,25.9,10YR,2,2,10YR,3,2
2993,793,-33.801925,-60.145681,31,58,10YR 2/2,10YR 2/2,34.9,NA,NA,0.42,9.2,43,10YR,2,2,10YR,2,2
2997,794,-34.46646,-59.190417,0,10,10YR 3/2,10YR 5/2,24.8,19.5,79,2.66,5.3,19.8,10YR,3,2,10YR,5,2
2998,794,-34.46646,-59.190417,10,23,10YR 3/2,10YR 5/2,24.6,19.1,78,1.9,5.7,28.3,10YR,3,2,10YR,5,2
2999,794,-34.46646,-59.190417,23,30,10YR 2/1,NA,24.4,19.2,79,1.47,5.8,31.3,10YR,2,1,NA,,
3000,794,-34.46646,-59.190417,30,40,10YR 2/2,NA,30.8,22.5,73,1.22,5.8,41.2,10YR,2,2,NA,,
3001,794,-34.46646,-59.190417,40,60,7.5YR 3/2,NA,34,29,85,0.6,6.1,53.3,7.5YR,3,2,NA,,
3006,795,-33.803648,-60.074866,0,11,10YR 3/2,10YR 5/2,27,19.1,71,2.65,5.9,26.1,10YR,3,2,10YR,5,2
3007,795,-33.803648,-60.074866,11,19,10YR 2/2,NA,24.5,20.8,85,1.43,8.5,25.3,10YR,2,2,NA,,
3008,795,-33.803648,-60.074866,19,43,10YR 2/2,NA,33.8,NA,NA,0.61,9.2,46.9,10YR,2,2,NA,,
3009,795,-33.803648,-60.074866,43,73,7.5YR 3/2,NA,37.1,NA,NA,0.45,9.3,56.2,7.5YR,3,2,NA,,
3012,796,-33.731244,-60.057996,0,13,10YR 3/2,NA,26.2,22.5,86,2.62,6.4,28.3,10YR,3,2,NA,,
3013,796,-33.731244,-60.057996,13,25,10YR 3/2,NA,21.4,19.3,91,1.75,6.5,29.5,10YR,3,2,NA,,
3014,796,-33.731244,-60.057996,25,34,7.5YR 3/2,NA,19.5,18.5,95,0.92,6.5,33.1,7.5YR,3,2,NA,,
3015,796,-33.731244,-60.057996,34,56,7.5YR 4/2,NA,34.8,30.2,87,0.73,6.8,55.2,7.5YR,4,2,NA,,
3020,797,-33.680557,-60.052781,0,13,10YR 3/2,NA,24.4,20.1,82,2.48,5.9,28.9,10YR,3,2,NA,,
